Société;Id. Concours;Id. Projet;Titre du projet;Non applicable;Description du projet;Non applicable;Etat du projet;Date d'octroi;Date de 1er versement (concours);Date d’achèvement opérationnel du projet;Libellé agence;Valeur fixe;Cofinancier;Libellé bénéficiaire primaire;Code-Canal (pour tiers bénéficiaires d’un concours);Pays de réalisation;Région;Latitude;Longitude ;Libellé secteur économique  (CAD-5);Libellé CICID;Non applicable;Valeur fixe;Libellé indicateur APD;Groupe de produit;Valeur fixe;Valeur fixe;Engagements bruts (euro);Non applicable;Non applicable;Versements (euro);Non applicable;Non applicable;Non applicable;Lien_Fiche_Projet;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Cofinanciers (O/N);Date mise à jour données projet;Date de la dernière publication;Date de publication NCO;Lien vers evaluation;Responsable pays;Division Technique;Libellé Risque Souverain;Décaissement Annuel;Budget;Publié dans le XML de Campagne;Date de Signature de Convention;IA publié;Géolocalisation
AFD;CBF134101;CBF1341;Electrification rurale et entreprenariat dans la région du Plateau Central.;;Electrification rurale et entreprenariat dans la région du Plateau Central.;;Achevé;2019-09-19;2019-12-05;;SIEGE PARIS - OPERATIONS SIEGE;France;;Conseil Régional de Nouvelle Aquitaine;11002.0;BURKINA FASO;Afrique Sub-saharienne;12.364637;-1.533864;Énergie solaire;Infrastructures et développement urbain;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;679034.0;;;679034.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1341;;;;;;Non;2024-03-13;2019-12-06;2019-12-06;;;Div. Territoires et entreprises;Sans objet ( autre que prêt );0.0;679034.0;Oui;2019-10-18;Non;12.364637, -1.533864
AFD;CBF134601;CBF1346;Appui à la mise en œuvre du Plan Sectoriel de l'Education et de la Formation;;Le financement, d'une durée de 4 ans, sera réparti entre a) une aide pour appuyer la mise en œuvre des priorités sectorielles du PSEF via le Fonds Commun-Compte d'Affectation Spécial au Trésor (FC-CAST), b) un soutien à la scolarisation dans les zones de forte insécurité et c) un appui au renforcement des capacités gestion du CAST.;;Exécution;2019-12-18;2020-12-31;;AGENCE DE OUAGADOUGOU;France;;REPUBLIQUE DU BURKINA FASO;12001.0;BURKINA FASO;Afrique Sub-saharienne;12.364637;-1.533864;ENSEIGNEMENT PRIMAIRE;Education, formation, emploi;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;11600000.0;;;6524033.59;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1346;;;;;;Non;2024-04-12;2020-07-09;2020-07-09;;AFDOUAGADOUGOU@afd.fr;Division Education et Formation professionnelle;Sans objet ( autre que prêt );24034.0;11600000.0;Oui;2020-04-22;Oui;12.364637, -1.533864
AFD;CBF136002;CBF1360;Projet de modernisation et de renforcement d'urgence des services publics ruraux d'eau potable en zone de crise (PMRU);;La finalité du Projet Modernisation et Renforcement d'Urgence des Services Publics ruraux d'eau potable en zone de crise (PRMU) est d'améliorer les conditions de vie des populations vulnérables et des communautés hôtes vivant dans 10 communes rurales de la Région Centre-Nord. Son objectif global est de renforcer, moderniser et assurer la durabilité de l'accès aux services élémentaires d'approvisionnement en eau situés en zone de crise. villes intermédiaires - Dispositif social;;Exécution;2021-12-08;;;AGENCE DE OUAGADOUGOU;France;;AGENCE FRANCAISE DE DEVELOPPEMENT;11004.0;BURKINA FASO;Afrique Sub-saharienne;12.364637;-1.533864;ALIMENTATION EN EAU - DISPOSITIFS DE BASE;Eau et assainissement;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;150000.0;;;0.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1360;;;;;;Oui;2024-03-28;2022-12-22;2022-12-22;;AFDOUAGADOUGOU@afd.fr;Division eau et assainissement;Sans objet ( autre que prêt );0.0;150000.0;Oui;2021-12-09;Non;12.364637, -1.533864
AFD;CBF136701;CBF1367;Création d'un Dispositif de Santé et Protection Sociale pour les familles vulnérables au Burkina Faso et validation du modèle à travers une recherche-action;;Amélioration durable du recours aux soins des familles vulnérables bénéficiaires de l'IMF YIKRI et sécurisation de leur situation économique à travers la mise en œuvre d'un DSPS efficace.;;Achevé;2019-05-14;2019-10-24;;SIEGE PARIS - OPERATIONS SIEGE;France;;ATIA;22000.0;BURKINA FASO;Afrique Sub-saharienne;12.368148;-1.527085;EDUCATION SANITAIRE;Santé;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;445000.0;;;445000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1367;;;;;;Non;2024-02-05;2020-01-27;2020-01-27;;;Div. Organisations de la Société Civile;Sans objet ( autre que prêt );0.0;445000.0;Oui;2019-07-23;Non;12.368148, -1.527085
AFD;CBF137301;CBF1373;Projet de prévention de la malnutrition en milieu urbain;;Le déploiement et la mise en œuvre du projet s'adossera au programme de filets sociaux « Burkina-naong-sa ya » mis en œuvre par l'Etat burkinabé. Ce projet contribuera à l'extension du programme national tout en introduisant des modalités additionnelles en matière de nutrition, d'accès aux soins de santé et de suivi-évaluation notamment.;;Exécution;2020-05-06;2021-01-08;;AGENCE DE OUAGADOUGOU;France;Fondation Bill & Melinda Gates;REPUBLIQUE DU BURKINA FASO;12001.0;BURKINA FASO;Afrique Sub-saharienne;12.364637;-1.533864;PROTECTION SOCIALE (EXCLUANT RETRAITES);Infrastructures et développement urbain;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;9000000.0;;;3957397.39;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1373;;;;;;Oui;2024-04-12;2020-12-07;2020-12-07;;AFDOUAGADOUGOU@afd.fr;Division Santé et Protection sociale;Sans objet ( autre que prêt );0.0;9000000.0;Oui;2020-09-10;Oui;12.364637, -1.533864
AFD;CBF137401;CBF1374;Projet d'Appui à la Gestion des Déchets Municipaux dans les Villes Secondaires du Burkina Faso;;Renforcer la maîtrise d'ouvrage communale sur la gestion des déchets par des actions au niveau communal et au niveau national Augmenter la prise de conscience des populations sur la nécessité d'un service public de gestion des déchets solides Améliorer le service rendu par les opérateurs de collecte (OC);;Achevé;2019-12-17;2020-03-30;;SIEGE PARIS - OPERATIONS SIEGE;France;;GROUPE RECHERCHES ECHANGES TECHNOLOGIQUES;22000.0;BURKINA FASO;Afrique Sub-saharienne;12.368148;-1.527085;TRAITEMENT DES DECHETS;Eau et assainissement;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;510000.0;;;510000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1374;;;;;;Non;2023-05-01;2020-02-18;2020-02-18;;;Div. Organisations de la Société Civile;Sans objet ( autre que prêt );0.0;510000.0;Oui;2020-02-18;Non;12.368148, -1.527085
AFD;CBF138101;CBF1381;Programme d'appui aux droits, à la santé sexuelle et reproductive et à la lutte contre le VIH/SIDA des jeunes;;Ce projet vise à améliorer les Droits, la Santé Sexuelle et Reproductive, la lutte contre le VIH/SIDA , intégrant le genre et l'Accès aux services des jeunes filles et jeunes garçons de 10 à 24 ans de 2 quartiers burkinabé, à Ouagadougou et à Bobo Dioulasso, sur 3 ans. Il propose une approche innovante et durable avec des séances d'éducation sexuelle complète adaptées à l'âge et au sexe des élèves de la primaire au lycée, mais également une sensibilisation des adultes de leur entourage;;Achevé;2020-01-28;2020-11-27;;SIEGE PARIS - OPERATIONS SIEGE;France;Organisation internationale de la francophonie (OIF);Confédération Nationale Planning Familial;22000.0;BURKINA FASO;Afrique Sub-saharienne;12.3646;-1.5339;PLANIFICATION FAMILIALE;Santé;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;225000.0;;;225000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1381;;;;;;Oui;2024-03-19;2020-07-24;2020-07-24;;;Div. Organisations de la Société Civile;Sans objet ( autre que prêt );0.0;225000.0;Oui;2020-07-27;Non;12.3646, -1.5339
AFD;CBF139601;CBF1396;Projet de développement économique local durable;;Le projet vise à soutenir le développement économique local durable de la ville de Bobo-Dioulasso, à travers la mise en œuvre d'une politique fiscale et territoriale, sous l'angle des équipements marchands;;Exécution;2021-03-10;;;AGENCE DE OUAGADOUGOU;France;;REPUBLIQUE DU BURKINA FASO;12001.0;BURKINA FASO;Afrique Sub-saharienne;12.364637;-1.533864;DEVELOPPEMENT ET GESTION URBAINE;Infrastructures et développement urbain;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;15000000.0;;;0.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1396;;;;;;Non;2024-03-29;2021-12-09;2021-12-09;;AFDOUAGADOUGOU@afd.fr;Div. Développement urbain / aménagement / logement;Souverain Direct;0.0;15000000.0;Oui;2021-05-21;Non;12.364637, -1.533864
AFD;CBF148101;CBF1481;Favoriser l'autonomisation économique des femmes et filles déplacées internes;;Favoriser l'autonomisation économique des femmes et filles déplacées internes des régions du Centre et Centre-Sud du Burkina Faso;;Exécution;2023-07-04;;;SIEGE PARIS - OPERATIONS SIEGE;France;;YIKRI;23000.0;BURKINA FASO;Afrique Sub-saharienne;12.2418505;-1.5567604;Code de conduite responsable;Secteur productif;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;350000.0;;;0.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBF1481;;;;;;Oui;2024-05-14;2024-05-14;2024-05-14;;;Div. Organisations de la Société Civile;Sans objet ( autre que prêt );0.0;350000.0;Oui;2024-05-14;Non;12.2418505, -1.5567604
AFD;CBI106504;CBI1065;Twige Neza - Appui au Plan Transitoire de l'Education au Burundi (PME);;Appui à la mise en œuvre du Plan de transition de l'éducation.  Les axes prioritaires pré identifiés sont les suivants :  - Accès à l'éducation : infrastructures et réduction des entrées tardives .  - Amélioration de la qualité : formation continue des enseignants, manuels .  - Prise en compte des vulnérabilités : enfants déplacés/rapatriés, OOSC, genre .  - Appui au pilotage du système : pilotage des établissements, préparation du prochain plan sectoriel.;;Exécution;2018-12-20;2020-12-03;;BUREAU DE BUJUMBURA;France;;PL4Y International;22000.0;BURUNDI;Afrique Sub-saharienne;-1.274359;36.813106;POLITIQUE EDUCATION ET GESTION ADMINIST.;Education, formation, emploi;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;635599.663;;;635599.663;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBI1065;;;;;;Non;2024-03-20;2019-12-27;2019-12-27;;AFDBUJUMBURA@afd.fr;Division Education et Formation professionnelle;Sans objet ( autre que prêt );0.0;635599.663;Oui;2020-05-15;Oui;-1.274359, 36.813106
AFD;CBI106505;CBI1065;Twige Neza - Appui au Plan Transitoire de l'Education au Burundi (PME);;Appui à la mise en œuvre du Plan de transition de l'éducation.  Les axes prioritaires pré identifiés sont les suivants :  - Accès à l'éducation : infrastructures et réduction des entrées tardives .  - Amélioration de la qualité : formation continue des enseignants, manuels .  - Prise en compte des vulnérabilités : enfants déplacés/rapatriés, OOSC, genre .  - Appui au pilotage du système : pilotage des établissements, préparation du prochain plan sectoriel.;;Exécution;2018-12-20;2021-09-29;;BUREAU DE BUJUMBURA;France;;AGENCE FRANCAISE DE DEVELOPPEMENT;11004.0;BURUNDI;Afrique Sub-saharienne;-1.274359;36.813106;POLITIQUE EDUCATION ET GESTION ADMINIST.;Education, formation, emploi;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;655369.3474;;;384636.1296;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBI1065;;;;;;Non;2024-03-20;2019-12-27;2019-12-27;;AFDBUJUMBURA@afd.fr;Division Education et Formation professionnelle;Sans objet ( autre que prêt );0.0;655369.3474;Oui;2018-12-21;Oui;-1.274359, 36.813106
AFD;CBJ125201;CBJ1252;Programme d'assainissement pluvial de la ville de Cotonou;;Programme d'assainissement pluvial de la ville de Cotonou;;Exécution;2019-09-18;2020-12-21;;AGENCE DE COTONOU;France;Association internationale de développement (IDA) / Banque européenne d'investissement (BEI) / Banque ouest africaine de développement (BOAD) / Banque islamique de développement (ISDB);REPUBLIQUE DU BENIN;12001.0;BENIN;Afrique Sub-saharienne;6.3652;2.4255;Réduction des risques de catastrophe (Disaster Ris;Autre;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;40000000.0;;;27815465.9;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBJ1252;;;;;;Oui;2024-04-15;2021-05-26;2021-05-26;;AFDCOTONOU@afd.fr;Division eau et assainissement;Souverain Direct;3144715.0;40000000.0;Oui;2020-03-31;Oui;6.3652, 2.4255
AFD;CBJ125301;CBJ1253;ACE Impact Bénin;;Participation au programme ACE Impact  au Bénin :  financement de deux centres d'excellence et d'une école polytechnique à travers un mécanisme incitatif de décaissements sur résultats, ciblés sur des objectifs d'excellence de la recherche et de la formation, d'attractivité régionale des étudiants, d'impact sur le développement et d'amélioration de la gouvernance et de la soutenabilité financière des Centres.;;Exécution;2020-01-29;2020-12-22;;AGENCE DE COTONOU;France;Association internationale de développement (IDA);REPUBLIQUE DU BENIN;12001.0;BENIN;Afrique Sub-saharienne;6.3652;2.4255;ENSEIGNEMENT SUPERIEUR;Education, formation, emploi;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;10000000.0;;;7000000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBJ1253;;;;;;Oui;2024-03-29;2021-07-08;2021-07-08;;AFDCOTONOU@afd.fr;Division Education et Formation professionnelle;Souverain Direct;0.0;10000000.0;Oui;2020-05-29;Oui;6.3652, 2.4255
AFD;CBJ125401;CBJ1254;CV19HICT - EQUITE (Ensemble pour une QUalité des soins Inclusive et Transparente);;Contribuer à l'amélioration de la santé des populations les plus vulnérables de la République du Bénin.  Complément de financement de 2M€ dans le cadre de la crise COVID 19;;Exécution;2019-09-18;2019-12-13;;AGENCE DE COTONOU;France;;ENABEL;13000.0;BENIN;Afrique Sub-saharienne;6.3652;2.4255;SOINS EN MATIERE DE FERTILITE;Santé;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;11000000.0;;;9918733.21;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBJ1254;;;;;;Non;2024-04-04;2020-09-14;2020-09-14;;AFDCOTONOU@afd.fr;Division Santé et Protection sociale;Sans objet ( autre que prêt );0.0;11000000.0;Oui;2019-11-12;Oui;6.3652, 2.4255
AFD;CBJ125701;CBJ1257;Ficol OrleansParakou - CBJ1257 - BENIN - Eau et assainissement;;Favoriser l'accès à l'eau et à l'assainissement de la population de Parakou (Bénin) par la mise en application des normes ISO (24 510, 24 511 et 24 512).;;Achevé;2019-12-27;2021-09-20;;SIEGE PARIS - OPERATIONS SIEGE;France;;Ville d'Orléans;11002.0;BENIN;Afrique Sub-saharienne;6.3652;2.4255;ALIMENTATION EN EAU - DISPOSITIFS DE BASE;Eau et assainissement;;Bilatéral;APD;Subvention;Intervention de type projet;Aide déliée;505000.0;;;505000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBJ1257;;;;;;Non;2024-02-29;2021-06-10;2021-06-10;;;Div. Territoires et entreprises;Sans objet ( autre que prêt );101000.0;505000.0;Oui;2020-01-31;Non;6.3652, 2.4255
AFD;CBJ126001;CBJ1260;projet de création du Musée de l'épopée des Amazones et des Rois du Dahomey et de valorisation du site palatial;;La finalité du présent projet est de favoriser la promotion du patrimoine touristique et culturel du Bénin.  Plus spécifiquement le projet vise à mettre en valeur le site historique d'Abomey (site palatial et nouveau musée) et à renforcer les capacités béninoises en termes de conservation et de valorisation patrimoniale.;;Exécution;2020-12-16;2021-12-21;;AGENCE DE COTONOU;France;;REPUBLIQUE DU BENIN;12001.0;BENIN;Afrique Sub-saharienne;6.3652;2.4255;CULTURE ET LOISIRS;Infrastructures et développement urbain;;Bilatéral;APD;Prêt;Intervention de type projet;Aide déliée;25000000.0;;;3000000.0;;;;http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBJ1260;;;;;;Non;2024-04-17;2021-07-05;2021-07-05;;AFDCOTONOU@afd.fr;Div. Développement urbain / aménagement / logement;Souverain Direct;0.0;25000000.0;Oui;2021-04-09;Oui;6.3652, 2.4255
